Age,Amount,bank,cardType,entry_type,gender,transaction,v1,v2,v3,v4,fraud
30,0.89,Bank0,Visa,INTERNET,m,INTERNET,2.02010932999994,0.0667232578849362,-1.61679681438843,0.351511691305584,0
76,5.45,Bank6,Visa,chip,f,ATM,1.31593919463744,0.23217209681295897,-0.148583224253691,0.5312767125646589,0
37,0.01,Bank1,Visa,INTERNET,f,INTERNET,2.0048850097025,-0.345628594724622,-0.41920292499275297,0.36706361261864795,0
66,120.0,Bank1,Master,chip,f,ATM,-0.7219324103131931,-0.971672170434784,2.1289903477226897,-2.4785874703453596,0
68,81.26,Bank0,Visa_Debit,INTERNET,f,INTERNET,1.722216824073,0.109320897069863,-0.7399015668040579,3.7888833685827406,0
58,1.98,Bank4,Visa,chip,m,POS,2.05274728685734,-0.0921879761644723,-1.07581748328731,0.413504357792781,0
27,3.59,Bank0,Visa_Debit,INTERNET,f,INTERNET,1.12601982239879,0.0519989960098831,0.46594725426586003,0.41411185945206896,0
68,29.98,Bank5,Master,magnetic,m,POS,-0.338416366948395,0.6556179874391961,1.04048587530837,-0.880729979178103,0
69,100.0,Bank3,Visa_Debit,chip,m,POS,-0.656852674807685,-0.358767096652076,0.244147261587683,-2.27547384551342,0
57,6.94,Bank6,Visa,INTERNET,f,INTERNET,2.0445584783896398,-1.4646416842111298,0.29482182291313697,-0.39686128994557895,0
74,11.99,Bank1,Visa,INTERNET,f,INTERNET,1.07697472124816,-0.180438643274143,1.21772563253001,1.72528063826354,0
43,123.0,Bank1,Visa,INTERNET,m,INTERNET,0.90668788594218,-0.30850456092799894,0.0764020363299918,1.371146143506,0
70,50.9,Bank0,Visa_Debit,INTERNET,m,INTERNET,1.0196894736264699,-0.51914540963983,1.2223189043820901,1.3434458140164598,0
67,2.28,Bank3,Master,magnetic,m,POS,-0.277216866933665,1.1837176653663601,0.9635763474212891,-0.14541029260930302,0
37,4.86,Bank0,Master,INTERNET,m,INTERNET,-0.7682647588967221,1.02372007329981,0.538972491942625,-0.96611642606324,0
52,59.99,Bank2,Master,magnetic,f,ATM,1.04126515771385,-0.0923904750144062,0.5393857685264961,0.9224379688727741,0
24,29.9,Bank0,Visa,INTERNET,f,INTERNET,-0.8427221259564058,1.34210829249646,-0.0630058802176685,1.04964185770915,0
22,3.58,Bank1,Visa,magnetic,m,POS,-0.8076347682658459,0.954688093356103,1.57319747525742,-0.0954103881601812,0
22,78.0,Bank11,AmEx,chip,m,POS,1.05170316162736,-0.8783696730856491,1.1585925969025102,0.620353531659463,0
39,7.82,Bank2,Master_Debit,chip,f,POS,-1.29878937943964,0.946627303867705,1.5479485227990701,0.334536118748497,0
27,9.99,Bank2,Visa_Debit,chip,f,POS,-0.409629072903876,1.04474500958364,0.575853427548698,0.840931928707103,0
51,49.99,Bank1,Visa,chip,m,POS,-2.35274501832683,-1.3840874968868997,1.71236413091552,0.022532148960211003,0
71,220.8,Bank6,Visa_Debit,chip,f,POS,1.7635647508682901,-1.60505939524675,-1.3614769568107,-0.511961025208973,0
51,1.0,Bank1,Visa,chip,m,POS,-9.86047759327023,-10.3646743884758,-1.34067611707006,1.3401236670938401,0
24,6.3,Bank0,Visa_Debit,INTERNET,m,INTERNET,1.27698086022978,0.0857952350835864,0.174990005588569,0.53162608695111,0
36,52.5,Bank8,Visa_Debit,chip,f,ATM,0.24377881984070698,1.0937091857218701,-1.33818262353007,0.540007710306474,0
36,19.99,Bank0,Visa_Debit,INTERNET,f,INTERNET,-0.477068448449736,1.29781342224552,-0.677065161096941,-0.41968771767607504,0
54,19.86,Bank0,Visa_Debit,magnetic,f,ATM,-1.29254845473031,0.0293939182501211,1.01443381759595,1.0096353860806,0
70,459.06,Bank5,Visa,INTERNET,f,INTERNET,-2.3535395570001296,-3.61995016968397,1.26558062545199,0.38972651200030395,0
67,139.96,Bank8,Visa,INTERNET,m,INTERNET,1.08105011379481,-0.25445481097211303,-0.6338441227663271,-0.101494350085248,0
55,473.85,Bank2,Visa,INTERNET,m,INTERNET,-1.13112261743745,-0.675780208718664,-1.63636608162222,-2.3632607523196,0
24,23.9,Bank4,Visa,chip,m,POS,-0.618498340688629,0.8093322355310408,1.7277133423281201,-0.282068956117252,0
43,138.95,Bank6,Visa,INTERNET,m,INTERNET,-0.44990947851270296,-0.26235716801594394,2.3830641675231603,0.8103654703164159,0
29,1.0,Bank6,Visa_Debit,chip,f,POS,-0.588340695037253,0.13656082311838,2.0055385009186204,-0.9513035927175529,0
31,97.05,Bank3,Visa,INTERNET,f,INTERNET,-1.24000976964873,0.104582975134336,1.36157356728093,0.724652606700953,0
39,1.98,Bank0,Visa,chip,f,POS,1.25538876611275,0.30273764590741,0.291267670840302,0.700542616358386,0
30,1759.0,Bank5,Visa,internet,f,INTERNET,-2.27247262312809,2.93522576984167,-4.87139411498144,2.41901198641213,1
57,102.5,Bank4,Visa_Debit,INTERNET,m,INTERNET,-5.78929140366366,2.80241611307287,-1.3936121813712798,-0.649161467391713,0
